,year,pitchingTeamId,pitchingTeam,conference,hittingTeamId,hittingTeam,gameId,gameDate,inning,balls,strikes,outs,pitcherId,Pitcher,pitcherHand,pitchType,plateLocX,plateLocZ,vertApprAngle,inducedVertBreak,horzBreak,horzApprAngle,extension,pitchResult,atbatResult,relX,relZ,releaseVelocity,spinRate,spinDir,rv
0,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,0,0,0,1601837916,L. McIntosh,R,FA,-2.20582,3.76774,-4.45106,13.14993,6.41847,0.301102,6.60667,B,IP_OUT,-2.46491,5.87003,88.41299,1969.509806,208.057668,0.13
1,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,1,0,0,1601837916,L. McIntosh,R,FA,0.14116,3.22303,-4.909136,11.84587,5.91319,-1.946715,6.83989,SL,IP_OUT,-2.1274,5.64398,88.16429,2024.672244,208.749725,-0.15
2,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,1,1,0,1601837916,L. McIntosh,R,FC,-0.14575,2.97971,-5.700888,9.61623,0.63106,-1.94091,6.35368,SS,IP_OUT,-1.98552,5.77386,85.74788,2386.145447,184.241939,-0.15
3,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,1,2,0,1601837916,L. McIntosh,R,FA,-1.73687,4.77232,-3.389283,12.36635,7.90028,0.361023,7.03466,B,IP_OUT,-2.06676,5.79276,87.49625,2063.334791,215.035561,0.13
4,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,2,2,0,1601837916,L. McIntosh,R,CH,-2.55779,2.07611,-7.563546,6.73185,10.88918,1.359854,6.31792,B,IP_OUT,-2.21486,5.60722,77.89693,1282.353948,244.351289,0.13
5,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,0,0,1,1601837916,L. McIntosh,R,FA,-0.56417,2.72676,-4.988853,16.93143,5.90729,-1.273297,7.06799,IP,S,-2.21254,5.66614,88.46607,1927.383531,200.435607,1.0
6,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,0,0,1,1601837916,L. McIntosh,R,FA,-0.00036,4.45341,-3.963511,13.73686,12.00851,-1.400913,6.6921,B,BB,-2.28044,5.90551,85.61791,1951.297597,223.965519,0.13
7,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,1,0,1,1601837916,L. McIntosh,R,FA,-0.80515,0.44575,-8.211432,12.4317,13.18729,-0.278134,6.69514,B,BB,-2.16044,5.71295,84.91723,1960.722293,229.615889,0.13
8,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,2,0,1,1601837916,L. McIntosh,R,SL,1.44884,1.37482,-8.471581,8.6926,-12.0293,-4.943296,5.71663,B,BB,-2.15905,5.7592,75.6491,2039.907185,121.099293,0.13
9,2026,730382592,SIE,D1 Metro Atlantic Athletic Conference,730155776,BING,466954222,2026-04-08 15:00:00,1,3,0,1,1601837916,L. McIntosh,R,FA,-1.73459,3.59214,-5.144384,10.94871,11.2454,0.429898,6.16287,B,BB,-2.27468,5.92025,85.09661,1898.478312,228.904214,0.8
