,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
1163,G. Gores,1187743488,GONZ,442,R,107,107,,97,,108,,105
1164,R. Butler,1187761408,OSU,159,R,94,97,,,98,102,,97
1165,M. Orton,1187786830,NIU,461,L,103,91,,,,,,100
1166,J. Cumming,1187924737,COPP,136,R,112,95,,,,,,108
1167,G. Guinther,1187931136,WCU,174,R,96,94,,,104,,,96
1168,B. Stephens,1188001792,COPP,157,R,109,,102,,,,,108
1169,K. Michaels,1188013824,WOF,381,L,111,97,,,,108,,106
1170,D. Meeks,1188022016,USM,146,R,99,114,,117,94,,,105
1171,J. Flores,1188043573,TEX,118,R,,,,91,108,,,103
1172,K. Keplinger,1188048384,UAB,504,L,92,108,115,,,101,,101
1173,M. Labuda,1188081664,QUIN,33,R,92,,,,,,,92
1174,C. Lax,1188195328,WRST,783,L,99,90,,,109,100,,99
1175,A. Day,1188253184,NIU,62,R,85,99,,,,,,91
1176,A. Pendleton,1188297747,CP,90,R,88,115,,,,,,97
1177,E. DeRossi,1188623261,MSM,506,R,98,97,97,,,91,,97
1178,J. Price,1188816895,NMSU,533,R,93,97,,,,97,,95
1179,R. Harvey,1188863908,BEL,667,L,99,106,,89,,122,,103
1180,A. Lewis,1188977549,PEAY,243,R,91,95,,,91,99,,94
1181,R. Hemmerling,1189045556,SCUS,366,R,103,87,92,105,109,,,98
1182,N. Huy,1189151232,UCSD,182,L,95,108,,,,,,105
1183,M. Koczwara,1189211136,FIU,347,R,110,106,,97,,,,106
1184,N. Geisler,1189291455,MASSL,286,R,90,82,,,87,103,,90
1185,T. Werth,1189300361,UCD,349,R,100,81,111,,,,,97
1186,A. Paul,1189531873,HP,922,R,98,108,101,,,96,,101
1187,H. Royal,1189567744,UALR,83,L,115,,120,,,,,117
1188,S. Keup,1189655552,WIN,243,R,104,97,,82,,76,,95
1189,M. Hindy,1190090752,TENN,150,L,90,,105,96,,,,94
1190,M. Castaneda,1190295552,NKU,128,R,90,,91,,,,,90
1191,B. Blair,1190323968,LIB,1227,R,110,111,,104,111,75,,108
1192,T. Horn,1190356736,NEB,1097,R,108,112,108,105,,101,,107
1193,B. Garmon II,1190534144,USA,102,R,113,,,,,,,113
1194,C. Meyer,1190560000,WVU,70,R,106,,102,,,,,104
1195,C. Baker,1190563961,BAY,259,R,100,,,94,,90,,96
1196,T. McKee,1190568448,GT,1181,R,99,113,97,103,106,112,,106
1197,A. Wright,1190581504,CSF,524,L,106,104,,,106,90,,104
1198,J. Lovin,1190621108,TAR,156,R,94,98,,,,,,95
1199,J. Voorhies,1190656244,CSN,472,R,106,108,,,,122,,109
1200,M. Poncini,1191087104,QUIN,295,R,100,,105,,,114,,104
1201,M. Alduino,1191087360,QUIN,243,L,85,,,,,,52,79
1202,D. Merriweather,1191427584,PEAY,821,L,112,101,98,106,,95,,106
1203,J. Shineflew,1191447040,USA,731,L,127,108,104,,,109,,118
1204,V. Larson,1191472640,LBSU,177,L,95,105,,115,,112,,104
1205,V. Arreola,1191534336,FRES,380,R,92,,65,93,,102,,92
1206,T. Ellisen,1191770880,UGA,213,R,103,,,107,,,,106
1207,R. Bridges,1191776307,STON,66,R,93,93,,,,,,93
1208,N. Rooney,1191777024,ND,707,L,94,99,104,,,98,,98
1209,B. Fridgen,1191930494,PENN,60,R,,,,,78,,113,93
1210,J. Werkowitch,1192193622,LU,42,L,,,,95,,,,95
1211,T. Egbert,1192314182,PENN,82,R,109,,,,,124,,118
1212,D. Brown,1192417079,CLEM,341,R,107,,110,,,96,,106
1213,A. Phillips,1192479588,JAC,109,R,108,,,,,,,108
1214,A. English,1192504320,YSU,369,R,96,90,,90,97,99,,94
1215,C. Davis,1192525568,WOF,622,R,96,112,,,96,74,,102
1216,E. Swiencicki,1192569600,LMC,121,R,85,,,,,,,85
1217,M. Barnett,1192573184,UCLA,822,R,90,,,,92,98,,94
1218,R. Furey,1192616148,UNF,591,R,88,115,,,94,104,,97
1219,B. Graf,1192665344,HC,118,R,82,68,,,,96,,84
1220,W. Kent,1192784896,SDST,133,R,95,98,,,105,,,98
1221,J. Caravalho,1192787200,HCU,778,R,100,99,97,87,95,92,,98
1222,Z. Peters,1193094400,VCU,739,R,126,118,106,,,,,120
1223,P. Watkins,1193489898,AMCC,53,R,111,,,,,,,111
1224,K. Lindsey,1193534195,FAMU,116,L,94,,103,,,,,97
1225,C. Duke,1193964800,SJSU,174,R,97,112,,104,,,,106
1226,B. Chambers,1194233036,MSU,485,R,92,105,101,107,,,,97
1227,S. Houchens,1194448803,URI,606,L,105,101,,,,103,,103
1228,J. Mitchell,1194506240,BING,539,R,113,119,,,,127,,119
1229,M. Monroe,1194520576,SPC,108,R,84,94,,,,103,,95
1230,L. Wenzel,1194520832,SPC,156,L,80,89,,,,,,84
1231,C. Kimble,1194595485,HOU,311,R,108,98,,,,103,,106
1232,T. Mikkelsen,1194704345,IOWA,43,R,,100,,,,,,100
1233,B. Lewis,1195042650,TNTC,415,R,98,102,98,101,113,100,,100
1234,I. Lenius,1195089821,UTAH,156,L,122,95,,,,,,112
1235,M. Ludeman,1195205129,PAC,174,R,108,,78,,,,,100
1236,C. Egan,1195363840,EMU,345,L,106,92,,,,,,103
1237,B. McDonough,1195458816,MASS,26,R,91,,,,,,,91
1238,C. Keen,1195475712,OHIO,98,R,105,,,,,,,105
1239,I. Yeager,1195481600,ORST,438,R,104,108,,,104,,,106
1240,C. McKinney,1195490048,ARIZ,677,R,111,89,96,102,,94,,104
1241,A. Troy,1195493376,USC,534,R,120,110,102,,,96,,115
1242,C. Diaz,1195501312,FGCU,811,R,120,99,98,,,87,,109
1243,L. Bevis,1195512064,TTU,427,R,97,103,,90,,104,,97
1244,J. Cline,1195514368,UALR,56,R,97,,,,,,,97
1245,E. Louthan,1195539200,UNCO,166,R,91,,91,,,104,,93
1246,B. Ryan,1195546112,MD,709,R,96,111,114,102,,,,106
1247,C. Myles,1195551232,UTSA,1050,L,104,109,111,,,85,,101
1248,B. Fritcher,1195554560,LAM,201,R,85,95,,,94,101,,95
1249,T. Kozera,1195558912,UNF,326,R,99,106,,,103,,,102
1250,T. Cehajic,1195561984,TULN,917,R,95,111,,99,,107,,103
1251,Z. Szabo,1195564032,NDSU,376,R,95,93,100,,,,,96
1252,E. Chaffee,1195586304,SJU,1164,L,105,95,98,,90,107,,100
1253,W. Newell,1195591424,GTWN,70,R,93,119,,,,,,106
1254,G. Estridge,1195605248,AFA,902,R,92,107,98,99,,112,,97
1255,B. Pruett,1195612672,UGA,133,R,111,112,,111,,,,112
1256,L. Polk,1195616000,SELA,606,R,92,116,109,,102,111,,107
1257,A. Longoria,1195625472,KSU,198,R,110,82,,,,89,,101
1258,W. Youngman,1195629568,FAIR,78,L,94,,,,,,,94
1259,S. Updike,1195950592,JAC,44,R,,107,,,,,,107
1260,L. Eisenbarth,1196116964,FGCU,253,R,98,80,96,,,120,,99
1261,A. Perez,1196329728,PAC,552,R,85,112,,103,,103,,94
1262,C. Giesige,1196671643,TOL,286,L,113,99,,,,99,,107
1263,D. Nelson,1196783360,TROY,355,L,112,95,111,,,113,,111
1264,C. Horst,1196784896,JVST,336,L,122,93,,,,103,,114
1265,A. Williamson,1196787968,JAC,175,R,90,111,,,,,,99
1266,G. Mackowiak,1196788736,CAL,83,L,112,103,,,,,,107
1267,P. Walega,1196792576,LAF,134,R,87,75,,,105,,,89
1268,C. Cavanaugh,1196796416,DAV,718,L,119,,99,,,115,,115
1269,D. Lally Jr.,1196797696,MICH,960,R,93,105,106,100,99,110,,101
1270,D. Lafferty,1196799744,PITT,840,R,104,100,101,100,99,94,,100
1271,C. Estridge,1196802304,WVU,404,R,100,101,,,102,,111,103
1272,S. Boyle,1196804608,SJSU,39,L,94,,,,,,,94
1273,R. Lamar,1196805376,ARPB,31,R,,,,107,,,,107
1274,J. Lordi,1196808193,LIU,104,L,89,98,,,,,,94
1275,J. Curreri,1196808449,HOF,432,R,90,100,96,,,,,94
1276,B. Hodges,1196819200,SCAR,32,L,96,,,,,,,96
1277,J. Gaspard,1196819456,MER,217,R,102,103,97,,,,,100
1278,R. Towers,1196825344,ECU,778,L,114,,105,113,,106,,110
1279,K. Hilburger,1196830720,BRY,438,R,108,,86,97,,101,,104
1280,R. O'Connor,1196833025,NE,772,R,98,102,94,85,105,104,,101
1281,B. Matela,1196834305,ODU,453,L,107,105,,,,,,106
1282,D. Stone,1196844288,UNF,900,L,113,108,106,,,,,111
1283,A. Knaak,1196854016,CLEM,996,R,105,,110,94,94,120,,109
1284,T. Lyne,1196859392,LIP,186,R,108,86,,,,,,99
1285,J. Schuerman,1197220608,CSB,333,R,119,104,101,,,,,116
1286,C. Miller,1197332224,SIU,462,R,96,114,,,102,114,,106
1287,R. Marohn,1197348608,NCST,638,L,132,,107,,,122,,126
1288,J. Vargas,1197482752,TXAM,353,R,124,102,,93,,,,113
1289,C. Wicker,1197497856,UCF,954,R,102,,106,93,89,119,,104
1290,J. Iannibelli,1197601536,WEBB,36,L,91,,,,,,,91
1291,S. Carlisle,1197659136,WMU,286,R,124,94,,87,,,,114
1292,J. Blank,1197668352,RICE,334,R,105,114,,109,,110,,108
1293,J. Gentile,1197778432,WEBB,145,R,93,109,100,,,,,98
1294,J. Eneix,1197866708,SOU,196,L,94,100,,,,104,,98
1295,J. Welsch,1197889411,SC,50,L,97,,,,,,,97
1296,S. Matson,1198395392,USC,580,L,131,104,,,,,,122
1297,E. Segura,1198403072,ORST,689,R,99,108,,,107,114,,104
1298,T. Sanderoff,1198409473,HOF,480,L,119,,99,,,92,,110
1299,J. Torres,1198431232,UCRV,327,R,90,88,,,,97,,91
1300,C. Schneider,1198469491,EKY,225,R,100,108,,104,,,,102
1301,N. Berry,1198478080,SAM,751,R,99,112,,85,,104,105,101
1302,J. Tedesco,1198482432,M-OH,398,L,110,97,,,,115,,107
1303,C. Kling,1198498048,ARIZ,548,R,107,110,91,93,,93,,102
1304,B. Flannery,1198502912,UNC,243,R,99,99,,102,,,,99
1305,E. Stewart,1198517248,OHIO,432,R,82,82,,,78,92,,84
1306,J. Roettgen,1198522112,MURR,75,L,107,,,,,,,107
1307,J. Hanson,1198527488,CMU,391,R,83,76,,86,,95,,86
1308,W. Danilowicz,1198530048,LOU,1095,L,121,104,111,,,90,,113
1309,H. Gotschall,1198543104,VCU,616,R,103,102,103,,,86,,101
1310,B. Marx,1198545408,BYU,237,R,109,110,95,,,,,106
1311,C. Powers,1198583040,MASS,346,R,95,,79,,,104,,94
1312,A. Houghton,1198583296,COR,330,L,89,102,105,,,,,93
1313,C. Araujo,1198832128,ALST,163,R,93,97,,,,,,95
1314,P. Howe,1198835854,PEPP,270,R,89,111,108,,,111,,99
1315,C. Teinert,1198975023,NEOM,272,R,94,78,,,,91,,90
1316,M. Dill,1198988835,TROY,424,R,93,102,,,,103,,97
1317,A. Hutcheson,1199169280,ORST,240,R,114,,,,121,64,,113
1318,L. Franks,1199183626,JOES,110,L,110,95,,,,,,107
1319,L. Alexander,1199254904,JMU,578,R,103,100,,101,,,,102
1320,M. Bright,1199602432,UNCO,221,R,87,97,,,,,,91
1321,E. Dillinger,1199602688,AFA,596,L,98,93,97,,,108,,98
1322,J. Byrd,1199686849,UGA,638,R,118,116,,,,114,,117
1323,E. Swenson,1199688898,ME,148,R,121,110,106,,,,,116
1324,N. Perry,1199787352,UTA,437,R,85,111,105,106,91,,,96
1325,J. Thompson,1199808928,WRST,729,L,111,102,99,,102,115,,109
1326,T. Thomson,1199932833,KU,47,L,104,,,,,,,104
1327,W. Clements,1200085504,TULN,26,R,,,,,97,,,97
1328,L. Hood,1200115665,GONZ,669,R,119,,103,,,111,,114
1329,K. Cushing,1200267776,NCAT,414,R,105,105,,99,,97,,103
1330,R. Peterson,1200305920,SHSU,649,R,107,99,103,100,102,,,104
1331,J. Harrell,1200464460,PRE,596,L,100,117,98,117,,81,,104
1332,M. DAmbrosio,1200476964,HOF,230,R,86,88,99,,,97,,90
1333,T. Shay,1200488513,LA S,211,R,100,93,,,,,,97
1334,H. Porter,1200671232,CHSO,296,R,94,91,,99,,109,,98
1335,Z. Weber,1201247232,OSU,70,R,,96,,101,,,,99
1336,T. Conklin,1201255936,EIU,729,R,95,112,,98,95,82,,97
1337,B. Plumley,1201257216,ILL,348,R,94,107,103,,,,,100
1338,D. Singh,1201259942,LMU,54,L,100,84,,,,,,91
1339,D. Dickson,1201260032,NW,392,R,97,112,97,,,,,104
1340,S. Reed,1201260544,ILL,370,L,111,,,80,,96,,96
1341,C. Spoonhour,1201430518,MOSU,168,R,102,110,,,,,,106
1342,B. Kosel,1201698556,UTU,558,R,107,97,100,107,,,,105
1343,J. Pineau,1201714432,CREI,1070,R,96,108,,98,97,106,,100
1344,C. Throneberry,1201822720,MAN,31,R,,106,,,,,,106
1345,K. Hawks,1201847438,MORE,654,L,115,101,,,130,114,,113
1346,G. Lockhart,1201915392,SF,696,R,93,,103,96,98,113,,98
1347,J. Frankel,1201945626,TULN,372,R,89,94,,101,94,110,,95
1348,D. Pollard,1202196992,QUC,303,R,106,111,,,,,,107
1349,C. Dowdle,1202394112,HC,98,R,86,80,,,,,,84
1350,M. Gosztola,1202396160,ORE,814,L,112,100,,,129,97,,108
1351,T. Skrobe,1202404352,HC,116,R,99,103,,,,,,101
1352,N. Frers,1202408960,VCU,477,R,104,96,,94,101,96,,98
1353,G. Howell,1202409216,EKY,450,R,99,107,,,107,103,,103
1354,E. Conway,1202409473,DEL,277,L,118,96,,,,92,,110
1355,C. Costello,1202414336,RAD,691,L,114,104,,80,115,108,,106
1356,R. Ladd,1202420480,RAD,740,R,105,106,,112,,92,,106
1357,K. Kipp,1202421504,BC,527,R,102,,,,109,104,,106
1358,B. Leisure,1202422016,IOWA,166,R,104,103,,,,,,104
1359,L. Vitarelli,1202466479,WIN,113,R,105,92,,,,,,100
1360,B. Boully,1202706688,FAU,235,R,111,,,,,108,,110
1361,A. Philpott,1202717440,SCAR,408,R,115,104,,105,,97,,107
1362,E. Dempsey,1202718208,FGCU,993,R,111,100,96,,,,,104
1363,C. Krebs,1202724609,MRSH,617,R,100,104,98,,,98,,101
1364,D. Rossow,1202729472,CAMP,986,R,108,106,,99,106,115,,107
1365,V. Corso,1203004672,WAG,79,R,87,91,,,,,,90
1366,C. Billingsley Jr.,1203107024,MSST,332,R,112,114,,102,,,,111
1367,W. Calvo,1203183454,ARMY,196,R,88,95,,,89,,,91
1368,D. Oswalt,1203409152,MEM,573,R,106,108,,,,,,107
1369,C. Grotyohann,1203468032,URI,296,R,116,101,,98,,,,109
1370,S. Ulrich,1203581440,YSU,73,L,87,,,,,,,87
1371,S. Farney,1203627611,SFA,181,R,88,,,,,113,,100
1372,F. Nardo,1203845169,WAG,56,R,84,,,,,,,84
1373,H. Banks,1204028160,ALA,280,R,101,100,,,,105,,101
1374,H. Elliott,1204042240,MISS,1156,L,117,102,94,,,103,,108
1375,J. Holst,1204042434,AFA,591,L,102,85,,,,97,,99
1376,G. Fontenot,1204042496,LSU,507,R,117,108,101,,,,,113
1377,R. Hernandez,1204083425,UVU,365,R,89,90,92,,,95,,91
1378,A. McBean,1204139027,SDSU,200,L,93,114,116,,,,,106
1379,D. Dawson,1204445209,CHSO,348,R,114,104,102,99,,,,108
1380,N. Tamburro,1204557568,MONM,159,R,91,92,,,,115,,98
1381,R. Lynch,1204808114,UNC,1215,R,113,112,,,117,90,,112
1382,D. McCarley,1204883968,ETSU,344,L,98,94,,,,91,,94
1383,B. Gilbert,1204908598,UVU,556,R,98,98,108,104,,,,102
1384,J. Messmore,1204987648,YSU,599,R,91,99,94,,,116,,100
1385,E. Vasiliou,1205080064,XAV,483,L,90,,,107,,114,,104
1386,J. Pace,1205098240,PEPP,208,R,92,99,,,100,,,97
1387,T. Egan,1205105664,TROY,1136,R,91,106,100,104,,,,100
1388,B. Shelton,1205110016,UAB,530,R,89,92,,,,106,,93
1389,O. Marsh,1205184939,BEL,328,R,95,102,,,,,114,101
1390,N. Yoder,1205369204,UVA,469,R,105,119,119,,,,,110
1391,A. Berg,1205371392,FOR,325,R,106,98,95,,,,,102
1392,B. Suriel,1205374209,INST,554,R,104,100,92,,,85,,101
1393,B. Davis,1205377980,MSST,564,R,101,114,107,111,112,,,111
1394,D. Jackson,1205651242,UCSB,285,L,105,,,,,138,,122
1395,J. Stogner,1205651712,UNA,651,R,97,91,84,95,94,79,92,91
1396,R. Rodriguez,1206338560,HOU,745,L,103,84,94,,102,,,95
1397,C. Darling,1206411261,PENN,338,R,104,119,116,119,,,,114
1398,K. Ladd,1206461184,MVSU,45,R,84,,,,,,,84
1399,A. Morris,1206527488,UTU,422,R,112,99,,99,,,,108
1400,A. Kuntz,1206607422,TNTC,203,L,116,,,,,,,116
1401,S. Stevens,1206642476,XAV,110,R,90,,,,,120,,105
1402,A. Jovia,1206681748,IONA,75,R,94,91,,,,,,93
1403,I. Salas,1207008590,MIZZ,262,L,102,100,,,,,,101
1404,J. Wise,1207135719,VT,29,R,98,,,,,,,98
1405,A. Rath,1207461376,TULN,27,R,115,,,,,,,115
1406,K. Elmy,1207469056,MURR,71,R,106,,,,,97,,102
1407,Z. Sabers,1207484160,CAMP,677,R,101,112,,93,105,,,103
1408,C. Monke,1207489536,MSU,863,R,94,,94,,,107,,99
1409,M. Porter,1207509760,LIB,340,L,108,,105,,,,,107
1410,L. Mckillop,1207510016,ILL,179,R,109,,,,,104,104,106
1411,D. Druckenmiller,1207747328,SAM,315,R,96,99,100,,,,,98
1412,J. Varner,1207755008,KENT,45,L,,110,,,,,,110
1413,G. Alveti,1207758080,PEAY,473,R,102,96,,,108,52,,101
1414,B. Mikos,1207768064,YSU,563,R,92,101,99,,,102,,95
1415,J. Martin,1207785216,SIUE,525,R,117,87,,,,82,,108
1416,T. Scheidt,1207786496,KU,416,R,103,116,,100,110,,,107
1417,W. Ross,1207792896,UNF,128,R,102,101,,,,102,,102
1418,B. Gastman,1207805440,UALR,81,L,106,107,,,,,,107
1419,D. Helwig,1207805696,ND,84,R,106,,,,,103,,105
1420,M. Sauser,1207806465,UCF,483,R,110,98,96,,,88,,104
1421,L. Fladda,1207806720,ARIZ,959,L,92,99,108,98,83,89,,95
1422,J. Fisher,1207825409,APP,255,R,108,104,,,114,71,,103
1423,G. Grundman,1207838720,MSU,541,L,106,104,,,110,98,,106
1424,L. Gailey,1207844864,USF,170,R,85,,97,,,109,,98
1425,C. Williams,1207845889,UMES,77,R,77,,68,,,,,74
1426,W. Parkinson,1207846656,VILL,465,L,106,101,,,105,91,,103
1427,B. Brantingham,1207853056,AFA,308,R,93,99,106,,88,110,,96
1428,T. Burns,1207858176,TEX,322,R,126,,,100,,97,,115
1429,W. Novara,1207884032,MICH,81,L,97,,,99,,,,98
1430,A. Abler,1207885056,HARV,718,R,88,95,96,94,,103,,93
1431,C. Domke,1207887360,OSU,909,R,106,97,,102,,99,,102
1432,J. DeCaro,1207928320,UNC,1090,R,117,113,109,,,126,,116
1433,A. Koshy,1207929088,MD,767,R,112,97,,,112,,,108
1434,R. Young,1208074872,UNA,495,L,92,99,,,89,95,,94
1435,L. Harrison,1208166656,TEX,957,L,115,126,119,101,104,,84,112
1436,B. Wellen,1208240994,SF,164,R,102,99,,,,,,101
1437,R. Karst,1208704577,INST,717,R,91,114,99,106,90,,,105
1438,G. Byrd,1208916788,WIN,482,R,101,107,101,98,,,,101
1439,B. Kehlenbrink,1209186747,MIZZ,1137,L,117,95,95,108,,97,,108
1440,A. Healy,1209228544,NAVY,167,R,105,,71,,114,,,104
1441,J. Maynard,1209290796,TXSO,46,L,83,,,,,,,83
1442,C. Ducie,1209304184,MASSL,55,R,90,,,,,,,90
1443,D. Brown,1209447607,CHSO,123,R,95,97,,,,,,96
1444,T. Jones,1209842305,NJIT,194,R,92,98,,,,83,,91
1445,L. Cornelison,1209953239,ARK,61,R,110,,,,,,,110
1446,D. Harrison,1210136539,CLEM,382,R,109,104,,,,,,108
1447,J. Vanesko,1210138624,BRY,364,L,99,100,,104,,98,,100
1448,S. Hard,1210140416,BC,373,R,111,112,106,,,,,111
1449,W. Robbins,1210149632,GASO,570,L,102,109,108,,,97,,103
1450,J. Gutierrez,1210179584,CSB,718,R,97,95,,,,103,,98
1451,J. Colucci,1210274029,UVA,211,R,105,96,,91,108,,,102
1452,W. Andrade,1210508597,UNO,794,R,103,110,75,,102,96,,103
1453,M. Mariano,1210662144,ALBY,364,R,102,,103,105,,111,,105
1454,K. Pfeffer,1210781760,M-OH,117,L,93,88,,,,88,,90
1455,Z. Vriesenga,1210844672,WMU,342,R,88,106,98,106,,113,,97
1456,N. Wech,1210845933,OKST,629,R,110,,107,100,,103,104,107
1457,C. Van Assen,1212105985,PUR,948,R,91,90,,,88,93,,90
1458,C. Hartman,1212107264,LOU,860,L,112,111,106,102,,88,,107
1459,C. Trantino,1212119670,SHU,80,L,84,,78,,,,,82
1460,B. Peck,1212251734,CBU,943,R,87,103,,100,98,108,,102
1461,K. Kantola,1212299520,LIP,300,R,121,114,,,,,,118
1462,E. Tierney,1212366080,NEV,222,R,106,98,,,,,,103
1463,P. Davis,1212456960,UALR,103,R,98,104,,,,,,100
1464,T. Benjamin,1212493408,BUT,170,R,86,89,,80,,,,85
1465,E. Rogers,1212639321,WICH,303,L,99,103,85,,,93,,96
1466,M. Gibson,1212835696,CIT,662,R,116,100,,98,,,,110
1467,R. Featherston,1212946688,ORE,172,R,95,97,,,,127,,109
1468,M. Peck,1212968192,UVU,345,R,104,99,,,,,,102
1469,B. Gilley,1212974336,WIN,856,R,97,107,112,,,100,,103
1470,J. Limas,1212988160,GC,149,R,,97,,,104,,,102
1471,J. Kreiger,1213030656,ME,628,R,93,96,99,87,106,107,,98
1472,B. Blatter,1213039361,WSU,95,R,100,,111,,,,,104
1473,A. Guazzo,1213077504,VALP,786,R,106,107,,98,,88,,104
1474,K. Davis,1213262848,WAG,48,L,87,,,,,,,87
1475,D. Sheerin,1213263616,LSU,583,R,126,115,88,,,,,119
1476,C. Yennaco,1213265409,MRMK,53,R,81,,,,,,,81
1477,I. Parsky,1213289997,DART,138,R,97,102,,,,,,99
1478,K. Gilman,1213305088,PRIN,310,R,85,,93,,,99,,89
1479,T. Arnold,1213309185,MILW,217,R,108,100,,,,103,,105
1480,C. Schumann,1213339904,ODU,137,L,97,86,,,82,,,88
1481,K. Burnett,1213364224,GRAM,70,R,96,,,,,,,96
1482,T. Carlisle,1213392691,LAM,68,R,95,,,98,,,,96
1483,G. Cruz,1213447680,CAMP,73,R,105,95,,,,,,102
1484,T. Douglas,1213459968,ORST,93,L,,100,,,101,,,101
1485,J. Borsari,1213486080,MRMK,70,R,90,91,,,,,,91
1486,N. Pimentel,1214752046,CSB,149,L,101,105,,,,,,102
1487,J. Williams,1215514327,JKST,172,R,85,104,,101,,,,95
1488,G. Alloway,1215825920,RID,58,R,87,110,,,,,,97
1489,S. Cozart,1215876129,TEX,599,R,120,111,105,97,,,106,110
1490,N. Robb,1216329728,GC,624,R,93,117,,,94,113,,108
1491,F. Bilecki,1216337353,BUCK,300,L,94,87,,,,96,,93
1492,T. Schriefer,1216538372,ILST,49,R,105,,,,,,,105
1493,C. Cespedes,1216593532,MD,810,R,99,111,,110,107,117,,107
1494,H. ODell,1216799252,USA,592,L,93,98,103,,105,93,,97
1495,J. Cazares,1217213705,UCSD,445,L,97,105,,,,,,101
1496,D. Heintz,1217261312,NCST,169,R,111,103,,,,,,108
1497,T. Lamar,1217444608,LEH,125,R,86,90,,,,,,87
1498,S. ONeill,1217444864,LEH,104,R,95,92,,,,108,,98
1499,E. Papacek,1217761363,BGSU,193,R,100,107,,,107,,,106
1500,K. Smith,1217831621,LIB,157,L,97,100,,,,,,99
1501,N. Kendrick,1217925888,SHSU,132,R,98,,,95,,103,,98
1502,S. Mata,1217938432,IONA,91,L,105,,,,,,,105
1503,T. Dagley,1217944832,LAM,266,L,100,94,,,95,93,,97
1504,M. Brown,1218480640,UALR,295,R,99,101,,,,101,,100
1505,C. Boyd,1218553088,MURR,335,R,97,100,92,,99,,,98
1506,O. Brown,1218560768,PV,135,L,102,,,,,,,102
1507,M. Rodriques,1218604800,YSU,284,R,94,117,107,,,,,103
1508,E. Torrero,1218637046,MVSU,55,L,78,,,,,,,78
1509,C. Mustard,1219165361,ELON,166,R,101,109,,101,,,,104
1510,K. Evans,1219227136,UNO,41,R,105,,,,,,,105
1511,B. Conner,1219424848,UAB,882,R,97,101,96,67,,100,,98
1512,J. Baldrate,1219613696,PRIN,53,L,81,,,,,,,81
1513,P. Fernandez,1219804451,CARK,309,R,99,76,,,,94,102,97
1514,B. Panneton,1220043596,TAR,115,R,99,108,,,105,,,105
1515,C. Hendry,1220061620,UNF,465,R,98,102,,,97,98,,100
1516,J. LeFrancois,1220216626,MASSL,208,R,92,101,,102,,,,96
1517,N. Holbrook,1220256000,GAST,293,R,98,92,,,113,111,,99
1518,A. Via,1220382525,PORT,172,R,107,106,,105,107,105,,106
1519,H. Cain,1220541184,KENN,683,R,110,104,,,,,,109
1520,G. Ulloa,1220726193,CSB,73,R,87,,,,,101,,92
1521,J. Vaughn,1221362565,BRAD,195,R,110,82,,,,,,104
1522,C. Skermont,1221583848,LMC,94,L,89,,,,,,,89
1523,O. Yarussi,1221617515,ODU,111,L,89,,110,,,,,101
1524,P. Monteforte,1221762212,BU,38,L,95,,,,,,,95
1525,J. Soucie,1221790928,UK,258,L,129,,102,112,,,,119
1526,M. Delph,1222572159,ARMY,285,R,100,90,,,,,,98
1527,J. Mireles,1222741050,TAMV,30,R,79,,,,,,,79
1528,C. Gonzalez,1222751202,BC,513,R,108,102,96,,,105,,105
1529,M. Lynch,1222811648,TOWS,571,L,95,96,92,,,89,,95
1530,T. Gebb,1223032064,LBSU,435,R,102,98,90,,,108,106,101
1531,A. Ramirez,1223073234,ARMY,357,R,88,,102,,,,,94
1532,M. Bradshaw,1223209728,MRMK,152,R,84,85,,,,,,84
1533,L. Wiley,1223210240,BUT,309,L,92,90,,,88,100,,93
1534,T. Kidwell,1223215104,LAF,214,R,95,85,,,,90,,91
1535,L. Parise,1223217920,JOES,788,R,100,95,88,73,83,94,,94
1536,W. Thornbury,1223279249,FRES,321,R,101,,85,,,,,97
1537,T. Stewart,1224001963,UVA,163,R,100,100,100,101,,,,100
1538,B. Vawter,1224001988,WKU,34,L,,,,,100,,,100
1539,N. Morlang,1224113038,MD,605,R,102,94,,95,,94,,99
1540,J. Ross,1224153514,SBON,34,L,108,,,,,,,108
1541,J. Park,1224262942,ODU,459,R,104,84,,,,87,,95
1542,E. Lugo-Canchola,1224819456,FLA,512,L,122,90,,,,,,106
1543,M. Cornelius,1224819712,UNM,35,L,90,,,,,,,90
1544,N. Basgaard,1224825147,SC,69,R,95,,,,,,,95
1545,B. Oliver,1224910717,CIN,122,R,,104,,106,97,,,102
1546,G. Marley,1225307968,ECU,563,R,109,94,,,100,,,107
1547,P. Storjohann,1225719040,UCD,437,R,96,121,,,,,,110
1548,C. Proskey,1225719296,UCSB,312,R,116,,111,99,,110,,111
1549,H. Thomas,1225722368,COFC,251,L,98,107,,108,,,,102
1550,O. Wheeler,1225725952,ME,254,R,104,,88,,,108,,103
1551,J. Belecky,1225828233,QUIN,369,R,97,91,,,95,,,95
1552,T. Starke,1225903616,LOU,348,L,98,101,,,66,,,85
1553,M. Pfeiffer,1226122367,EMU,552,R,93,85,90,102,92,106,,95
1554,P. Lind,1226393031,KENT,164,L,103,89,,,95,,,97
1555,A. Whitehead,1226407936,USC,36,L,111,,,,,,,111
1556,N. Girard,1226661598,ILST,315,L,101,84,91,,94,,,93
