,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
79,J. Showalter,1025321923,SLU,35,R,98,,,,,,,98
80,H. Simmerson,1025456052,CLEM,395,R,110,,116,,,,,113
81,T. Willis,1025801293,GMU,314,R,90,99,100,,,,,94
82,B. Strenke,1025905372,CREI,50,R,103,,,,,,,103
83,K. Smith,1026403723,FAU,487,R,92,112,,,92,86,,92
84,A. Gonzalez,1026778788,SIND,668,R,105,101,,97,,99,,102
85,M. Jack,1026900874,ODU,298,R,105,102,,,,102,,104
86,G. Keffaber,1027382816,KENT,104,R,88,,106,,,,,97
87,M. Glickman,1027679803,UONH,184,R,88,84,,,91,92,,89
88,T. Walker,1027723959,WASH,121,L,90,88,,,,,,89
89,D. Nguyen-Brown,1028771664,UNCA,158,R,82,87,92,,,,,85
90,A. Lariz,1028900889,UCF,396,R,107,88,,,107,,,100
91,A. Camp,1029001399,CHAR,465,L,105,101,,,,92,,102
92,S. Egger,1029738191,WOF,234,L,85,,99,,,91,,90
93,A. Caudill,1030081922,MRSH,395,R,107,101,,102,,,,105
94,A. Laughlin,1030168344,WOF,388,R,101,113,,,,,,103
95,S. Tolbert,1030192899,SOU,25,R,84,,,,,,,84
96,P. Wheeler,1030510522,SF,203,L,111,,,,111,,,111
97,T. Greene,1031474963,SIU,160,R,113,85,,,,,,102
98,I. Standlee,1032348499,ARMY,107,R,94,93,,,,,,94
99,C. Condon,1032353899,WOF,827,R,95,100,104,,,97,,98
100,J. Becker,1032430783,UCRV,169,L,105,100,,,,109,,106
101,B. Stukes,1032977235,SCUS,1011,R,119,97,93,97,,94,,108
102,T. Busby,1033059856,SF,99,R,96,99,,,,,,97
103,E. Johnson,1034254383,DSU,42,L,79,,,,,,,79
104,M. Goodman,1034835534,MASS,109,R,91,86,,,,,,90
105,E. Skidmore,1035216957,MIZZ,414,R,110,112,,,,100,,110
106,C. Bryant,1035995807,COFC,716,R,103,95,,,,111,,103
107,R. Byers,1036866342,ETSU,128,L,93,,104,,106,,,101
108,B. Nunnally,1037057780,EIU,170,R,99,101,,,,,,100
109,M. Smith,1037675043,KSU,440,R,104,114,,105,102,,,105
110,D. Nieto,1037722629,CSF,192,R,105,102,,,,100,,103
111,A. Arnold,1037822104,SAM,40,L,98,,,,,,,98
112,J. Williams,1037841770,LAM,607,L,100,102,113,71,106,107,,99
113,N. Umlandt,1037957951,PORT,80,R,88,83,,,,,,86
114,R. Markwardt,1038393467,TXST,479,L,110,94,,,98,106,,101
115,G. Dicks,1038741409,JAC,179,L,101,102,,101,,,,101
116,E. Rico,1038744464,FRES,280,R,109,104,,,,91,,106
117,M. Brassfield,1038792681,TCU,786,L,106,128,,,96,,,116
118,R. Gonzalez,1039226391,UTRGV,133,R,104,94,95,,,,,100
119,K. Yovanovich,1039312035,SF,284,R,88,,,108,,,,103
120,F. Voytko,1039553316,IW,535,R,99,102,103,,,101,,100
121,D. Lazaro,1039607278,VT,259,L,114,100,100,,,,,108
122,C. Carney,1039876806,PEAY,310,R,90,116,,,87,108,,99
123,D. Vann,1040055800,PRE,63,R,91,,106,,,,,97
124,E. Lichtenauer,1040181757,OHIO,402,L,72,77,54,,80,82,,73
125,B. Sehlke,1040748633,OAK,112,R,89,,,106,104,,,99
126,C. Airington,1041288587,PEAY,746,R,124,87,,,,,92,117
127,C. Powell,1041792638,TXAM,125,L,129,,,,,,,129
128,W. Andre,1042031686,SAM,447,R,104,98,109,,,,,104
129,F. Ong,1042762461,UNLV,567,R,99,112,107,100,,,,103
130,M. Lee,1043106001,BRAD,43,L,102,,,,,,,102
131,L. Ryerse,1043210447,MINN,183,R,106,109,,112,,97,,106
132,O. Austin,1043305199,WCU,259,L,109,91,,82,,88,,98
133,A. Najar,1043503906,MCNS,142,R,,92,,,99,79,,91
